before {'accuracy': 0.044921875, 'correct_probability': 0.09788074158132076}
{'step': 1, 'reward': 0.138671875, 'group_hit': 0.875, 'pg': 0.004423690028488636, 'kl': 0.0, 'kl_ema': 0.0, 'kl_beta': 0.09512294245007141, 'grad_norm': 0.623779296875}
{'step': 5, 'reward': 0.12890625, 'group_hit': 0.90625, 'pg': 0.004337700083851814, 'kl': 0.00029455742333084345, 'kl_ema': 7.927550218882971e-05, 'kl_beta': 0.07789823601894252, 'grad_norm': 0.7109777927398682}
{'step': 10, 'reward': 0.09375, 'group_hit': 0.71875, 'pg': 0.012539948336780071, 'kl': 0.001056753215380013, 'kl_ema': 0.000398612611342686, 'kl_beta': 0.060762054249044656, 'grad_norm': 0.6740147471427917}
{'step': 15, 'reward': 0.095703125, 'group_hit': 0.75, 'pg': -0.005532030016183853, 'kl': 0.002508387202396989, 'kl_ema': 0.0009705912199179987, 'kl_beta': 0.047524310648944745, 'grad_norm': 0.4609793722629547}
{'step': 20, 'reward': 0.09765625, 'group_hit': 0.78125, 'pg': 0.006400867365300655, 'kl': 0.0022065257653594017, 'kl_ema': 0.0020794319820740255, 'kl_beta': 0.03741956135952616, 'grad_norm': 0.42029017210006714}
{'step': 25, 'reward': 0.103515625, 'group_hit': 0.84375, 'pg': -0.013353408314287663, 'kl': 0.005093360785394907, 'kl_ema': 0.0035652217357468458, 'kl_beta': 0.02969968211574761, 'grad_norm': 0.5650379061698914}
{'step': 30, 'reward': 0.080078125, 'group_hit': 0.78125, 'pg': 0.006635362282395363, 'kl': 0.008282622322440147, 'kl_ema': 0.0052412939887363135, 'kl_beta': 0.02379021801131811, 'grad_norm': 0.5615020394325256}
{'step': 35, 'reward': 0.08203125, 'group_hit': 0.6875, 'pg': -0.012582136318087578, 'kl': 0.009996544569730759, 'kl_ema': 0.007341665983562206, 'kl_beta': 0.0192781991967882, 'grad_norm': 0.4026145040988922}
{'step': 40, 'reward': 0.107421875, 'group_hit': 0.78125, 'pg': -0.0032681652810424566, 'kl': 0.010823865421116352, 'kl_ema': 0.008433656502881429, 'kl_beta': 0.01577622122088085, 'grad_norm': 0.5618451833724976}
{'step': 45, 'reward': 0.083984375, 'group_hit': 0.6875, 'pg': -0.0006645899266004562, 'kl': 0.011537464335560799, 'kl_ema': 0.010735829372101574, 'kl_beta': 0.013065873788573377, 'grad_norm': 0.3857789635658264}
{'step': 50, 'reward': 0.103515625, 'group_hit': 0.8125, 'pg': -0.0030435286462306976, 'kl': 0.014053735882043839, 'kl_ema': 0.011903712554673011, 'kl_beta': 0.01093481196592115, 'grad_norm': 0.4276731312274933}
{'step': 55, 'reward': 0.115234375, 'group_hit': 0.71875, 'pg': -0.007024734281003475, 'kl': 0.014200418256223202, 'kl_ema': 0.013383368045708745, 'kl_beta': 0.009228404440058926, 'grad_norm': 0.6185678839683533}
{'step': 60, 'reward': 0.115234375, 'group_hit': 0.84375, 'pg': 0.002446157857775688, 'kl': 0.019155442714691162, 'kl_ema': 0.015002667499025457, 'kl_beta': 0.007855558288933185, 'grad_norm': 0.5780456066131592}
