before {'accuracy': 0.044921875, 'correct_probability': 0.09788074158132076}
{'step': 1, 'reward': 0.138671875, 'group_hit': 0.875, 'pg': 0.004423690028488636, 'kl': 0.0, 'grad_norm': 0.623779296875}
{'step': 5, 'reward': 0.12890625, 'group_hit': 0.875, 'pg': 0.0010777860879898071, 'kl': 0.00031406295602209866, 'grad_norm': 0.7121177315711975}
{'step': 10, 'reward': 0.091796875, 'group_hit': 0.71875, 'pg': 0.01238609291613102, 'kl': 0.000991094741038978, 'grad_norm': 0.6720303893089294}
{'step': 15, 'reward': 0.095703125, 'group_hit': 0.75, 'pg': -0.006117699667811394, 'kl': 0.0025725150480866432, 'grad_norm': 0.43491125106811523}
{'step': 20, 'reward': 0.09765625, 'group_hit': 0.78125, 'pg': 0.004928279668092728, 'kl': 0.0021951135713607073, 'grad_norm': 0.4043410122394562}
{'step': 25, 'reward': 0.09765625, 'group_hit': 0.8125, 'pg': -0.013093879446387291, 'kl': 0.004911649972200394, 'grad_norm': 0.5718894004821777}
{'step': 30, 'reward': 0.080078125, 'group_hit': 0.78125, 'pg': 0.006424690596759319, 'kl': 0.007423609495162964, 'grad_norm': 0.5001143217086792}
{'step': 35, 'reward': 0.087890625, 'group_hit': 0.71875, 'pg': -0.010419012978672981, 'kl': 0.008279221132397652, 'grad_norm': 0.42298635840415955}
{'step': 40, 'reward': 0.109375, 'group_hit': 0.8125, 'pg': -0.001558787189424038, 'kl': 0.008366886526346207, 'grad_norm': 0.5022574067115784}
{'step': 45, 'reward': 0.083984375, 'group_hit': 0.65625, 'pg': -0.0013185562565922737, 'kl': 0.00896468199789524, 'grad_norm': 0.3579603433609009}
{'step': 50, 'reward': 0.107421875, 'group_hit': 0.875, 'pg': -0.002422918099910021, 'kl': 0.00949981901794672, 'grad_norm': 0.48133584856987}
{'step': 55, 'reward': 0.111328125, 'group_hit': 0.71875, 'pg': -0.007714030332863331, 'kl': 0.009128917008638382, 'grad_norm': 0.5821199417114258}
{'step': 60, 'reward': 0.111328125, 'group_hit': 0.8125, 'pg': 0.005907665938138962, 'kl': 0.011317693628370762, 'grad_norm': 0.5813442468643188}
{'step': 65, 'reward': 0.1171875, 'group_hit': 0.71875, 'pg': -0.013443412259221077, 'kl': 0.0090781319886446, 'grad_norm': 0.6046434044837952}
{'step': 70, 'reward': 0.103515625, 'group_hit': 0.8125, 'pg': -0.001689243596047163, 'kl': 0.015813011676073074, 'grad_norm': 0.41179776191711426}
{'step': 75, 'reward': 0.12109375, 'group_hit': 0.90625, 'pg': 0.007815752178430557, 'kl': 0.010958679020404816, 'grad_norm': 0.679615318775177}
{'step': 80, 'reward': 0.103515625, 'group_hit': 0.78125, 'pg': 0.005978232715278864, 'kl': 0.0112207205966115, 'grad_norm': 0.5054648518562317}
{'step': 85, 'reward': 0.099609375, 'group_hit': 0.75, 'pg': 0.011307982727885246, 'kl': 0.014820731244981289, 'grad_norm': 0.48230838775634766}
{'step': 90, 'reward': 0.115234375, 'group_hit': 0.84375, 'pg': -0.005266023799777031, 'kl': 0.014286638237535954, 'grad_norm': 0.5404743552207947}
{'step': 95, 'reward': 0.115234375, 'group_hit': 0.8125, 'pg': -0.0011824634857475758, 'kl': 0.017249170690774918, 'grad_norm': 0.5703840255737305}
{'step': 100, 'reward': 0.107421875, 'group_hit': 0.75, 'pg': 0.004934380762279034, 'kl': 0.016043780371546745, 'grad_norm': 0.4602818489074707}
{'step': 105, 'reward': 0.123046875, 'group_hit': 0.84375, 'pg': -0.0030967961065471172, 'kl': 0.01840125396847725, 'grad_norm': 0.5020894408226013}
{'step': 110, 'reward': 0.078125, 'group_hit': 0.78125, 'pg': 0.0022073155269026756, 'kl': 0.011247551999986172, 'grad_norm': 0.36729761958122253}
{'step': 115, 'reward': 0.11328125, 'group_hit': 0.75, 'pg': -0.004136800765991211, 'kl': 0.009883129969239235, 'grad_norm': 0.5768135190010071}
{'step': 120, 'reward': 0.134765625, 'group_hit': 0.9375, 'pg': -0.0038630403578281403, 'kl': 0.011138500645756721, 'grad_norm': 0.42235827445983887}
