[ropegate8] d=92 L=8 params=2,884,476 device=cuda
step=1/30000 train_loss=2.3920 eval_loss=2.3133 token_acc=0.1184 exact_acc=0.0000 best_exact=0.0000
step=500/30000 train_loss=0.1154 eval_loss=0.0993 token_acc=0.6624 exact_acc=0.0312 best_exact=0.0312
step=1000/30000 train_loss=0.0786 eval_loss=0.0773 token_acc=0.7226 exact_acc=0.0312 best_exact=0.0312
step=1500/30000 train_loss=0.0739 eval_loss=0.0701 token_acc=0.7882 exact_acc=0.0938 best_exact=0.0938
step=2000/30000 train_loss=0.0602 eval_loss=0.0514 token_acc=0.8090 exact_acc=0.2500 best_exact=0.2500
step=2500/30000 train_loss=0.0453 eval_loss=0.0444 token_acc=0.8322 exact_acc=0.3125 best_exact=0.3125
step=3000/30000 train_loss=0.0513 eval_loss=0.0426 token_acc=0.8225 exact_acc=0.1250 best_exact=0.3125
step=3500/30000 train_loss=0.0405 eval_loss=0.0436 token_acc=0.8453 exact_acc=0.2812 best_exact=0.3125
step=4000/30000 train_loss=0.0414 eval_loss=0.0366 token_acc=0.8299 exact_acc=0.1875 best_exact=0.3125
step=4500/30000 train_loss=0.0340 eval_loss=0.0268 token_acc=0.8445 exact_acc=0.2500 best_exact=0.3125
step=5000/30000 train_loss=0.0268 eval_loss=0.0311 token_acc=0.8519 exact_acc=0.2500 best_exact=0.3125
step=5500/30000 train_loss=0.0252 eval_loss=0.0312 token_acc=0.8808 exact_acc=0.3750 best_exact=0.3750
step=6000/30000 train_loss=0.0212 eval_loss=0.0261 token_acc=0.9132 exact_acc=0.6250 best_exact=0.6250
step=6500/30000 train_loss=0.0220 eval_loss=0.0219 token_acc=0.9151 exact_acc=0.5312 best_exact=0.6250
step=7000/30000 train_loss=0.0168 eval_loss=0.0235 token_acc=0.9290 exact_acc=0.5312 best_exact=0.6250
step=7500/30000 train_loss=0.0162 eval_loss=0.0217 token_acc=0.9228 exact_acc=0.4375 best_exact=0.6250
step=8000/30000 train_loss=0.0168 eval_loss=0.0217 token_acc=0.9360 exact_acc=0.5625 best_exact=0.6250
step=8500/30000 train_loss=0.0151 eval_loss=0.0165 token_acc=0.9313 exact_acc=0.5000 best_exact=0.6250
step=9000/30000 train_loss=0.0181 eval_loss=0.0154 token_acc=0.9217 exact_acc=0.4688 best_exact=0.6250
step=9500/30000 train_loss=0.0191 eval_loss=0.0208 token_acc=0.9236 exact_acc=0.6250 best_exact=0.6250
step=10000/30000 train_loss=0.0217 eval_loss=0.0149 token_acc=0.9537 exact_acc=0.6562 best_exact=0.6562
step=10500/30000 train_loss=0.0129 eval_loss=0.0162 token_acc=0.9622 exact_acc=0.5938 best_exact=0.6562
step=11000/30000 train_loss=0.0133 eval_loss=0.0150 token_acc=0.9510 exact_acc=0.6562 best_exact=0.6562
step=11500/30000 train_loss=0.0143 eval_loss=0.0170 token_acc=0.9298 exact_acc=0.5625 best_exact=0.6562
step=12000/30000 train_loss=0.0144 eval_loss=0.0151 token_acc=0.9429 exact_acc=0.6250 best_exact=0.6562
step=12500/30000 train_loss=0.0160 eval_loss=0.0135 token_acc=0.9826 exact_acc=0.7812 best_exact=0.7812
step=13000/30000 train_loss=0.0137 eval_loss=0.0137 token_acc=0.9352 exact_acc=0.5000 best_exact=0.7812
step=13500/30000 train_loss=0.0125 eval_loss=0.0166 token_acc=0.9749 exact_acc=0.7812 best_exact=0.7812
step=14000/30000 train_loss=0.0129 eval_loss=0.0102 token_acc=0.9541 exact_acc=0.6875 best_exact=0.7812
step=14500/30000 train_loss=0.0140 eval_loss=0.0156 token_acc=0.9464 exact_acc=0.6562 best_exact=0.7812
step=15000/30000 train_loss=0.0141 eval_loss=0.0083 token_acc=0.9734 exact_acc=0.7188 best_exact=0.7812
step=15500/30000 train_loss=0.0112 eval_loss=0.0144 token_acc=0.9691 exact_acc=0.7812 best_exact=0.7812
step=16000/30000 train_loss=0.0080 eval_loss=0.0138 token_acc=0.9444 exact_acc=0.5625 best_exact=0.7812
step=16500/30000 train_loss=0.0112 eval_loss=0.0097 token_acc=0.9595 exact_acc=0.7500 best_exact=0.7812
step=17000/30000 train_loss=0.0113 eval_loss=0.0162 token_acc=0.9772 exact_acc=0.7812 best_exact=0.7812
step=17500/30000 train_loss=0.0110 eval_loss=0.0109 token_acc=0.9660 exact_acc=0.7188 best_exact=0.7812
step=18000/30000 train_loss=0.0116 eval_loss=0.0151 token_acc=0.9522 exact_acc=0.6562 best_exact=0.7812
step=18500/30000 train_loss=0.0101 eval_loss=0.0179 token_acc=0.9437 exact_acc=0.5938 best_exact=0.7812
step=19000/30000 train_loss=0.0103 eval_loss=0.0083 token_acc=0.9757 exact_acc=0.7500 best_exact=0.7812
step=19500/30000 train_loss=0.0090 eval_loss=0.0103 token_acc=0.9649 exact_acc=0.7188 best_exact=0.7812
step=20000/30000 train_loss=0.0136 eval_loss=0.0074 token_acc=0.9649 exact_acc=0.7500 best_exact=0.7812
step=20500/30000 train_loss=0.0118 eval_loss=0.0126 token_acc=0.9630 exact_acc=0.6875 best_exact=0.7812
step=21000/30000 train_loss=0.0106 eval_loss=0.0245 token_acc=0.9529 exact_acc=0.6875 best_exact=0.7812
step=21500/30000 train_loss=0.0110 eval_loss=0.0150 token_acc=0.9356 exact_acc=0.5625 best_exact=0.7812
step=22000/30000 train_loss=0.0121 eval_loss=0.0109 token_acc=0.9718 exact_acc=0.8438 best_exact=0.8438
step=22500/30000 train_loss=0.0099 eval_loss=0.0155 token_acc=0.9657 exact_acc=0.7500 best_exact=0.8438
step=23000/30000 train_loss=0.0131 eval_loss=0.0174 token_acc=0.9772 exact_acc=0.7500 best_exact=0.8438
step=23500/30000 train_loss=0.0081 eval_loss=0.0095 token_acc=0.9857 exact_acc=0.8438 best_exact=0.8438
step=24000/30000 train_loss=0.0059 eval_loss=0.0172 token_acc=0.9807 exact_acc=0.8125 best_exact=0.8438
step=24500/30000 train_loss=0.0069 eval_loss=0.0075 token_acc=0.9641 exact_acc=0.7812 best_exact=0.8438
step=25000/30000 train_loss=0.0103 eval_loss=0.0108 token_acc=0.9599 exact_acc=0.6875 best_exact=0.8438
step=25500/30000 train_loss=0.0095 eval_loss=0.0082 token_acc=0.9456 exact_acc=0.6875 best_exact=0.8438
step=26000/30000 train_loss=0.0088 eval_loss=0.0138 token_acc=0.9576 exact_acc=0.6562 best_exact=0.8438
step=26500/30000 train_loss=0.0088 eval_loss=0.0122 token_acc=0.9676 exact_acc=0.7500 best_exact=0.8438
step=27000/30000 train_loss=0.0084 eval_loss=0.0103 token_acc=0.9545 exact_acc=0.6875 best_exact=0.8438
step=27500/30000 train_loss=0.0075 eval_loss=0.0098 token_acc=0.9730 exact_acc=0.8125 best_exact=0.8438
step=28000/30000 train_loss=0.0092 eval_loss=0.0067 token_acc=0.9660 exact_acc=0.7188 best_exact=0.8438
step=28500/30000 train_loss=0.0087 eval_loss=0.0116 token_acc=0.9680 exact_acc=0.7500 best_exact=0.8438
step=29000/30000 train_loss=0.0118 eval_loss=0.0079 token_acc=0.9954 exact_acc=0.9688 best_exact=0.9688
step=29500/30000 train_loss=0.0143 eval_loss=0.0101 token_acc=0.9556 exact_acc=0.5938 best_exact=0.9688
step=30000/30000 train_loss=0.0070 eval_loss=0.0071 token_acc=0.9653 exact_acc=0.7500 best_exact=0.9688

